created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Cleaned Text,Tokens
Fri Oct 20 11:03:30 +0000 2023,1715322846833205374,syahirularif Yang pasti jokowi gibrantweet dukung ganjarpranowo  Kalau tidak dukung pasti sudah pindah partai,0,0,0,0,in,3244905644,1715320765036495140,Mi73Hel,https://twitter.com/Mi73Hel/status/1715322846833205374,syahirularif Yang jokowi gibrantweet ganjarpranowo Kalau,"['[', ""'syahirularif"", ""'"", ',', ""'Yang"", ""'"", ',', ""'jokowi"", ""'"", ',', ""'gibrantweet"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'Kalau"", ""'"", ']']"
Fri Oct 20 11:03:25 +0000 2023,1715322827472335187,NikmatulSg ganjarpranowo mohmahfudmd Visi misi yang sangat tepat dan harus cepat dilaksanakan Karna selama ini blm maksimal VisiMisiGanjarMahfud,0,0,0,0,in,1707053631005212672,1715286319017103792,Anita33_,https://twitter.com/Anita33_/status/1715322827472335187,NikmatulSg ganjarpranowo mohmahfudmd Visi dilaksanakan Karna blm VisiMisiGanjarMahfud,"['[', ""'NikmatulSg"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Visi"", ""'"", ',', ""'dilaksanakan"", ""'"", ',', ""'Karna"", ""'"", ',', ""'blm"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
Fri Oct 20 11:03:23 +0000 2023,1715322818022592572,Anase Muhayya ganjarpranowo mohmahfudmd chchotimah RenaHoston koteka aanmuba Aryprasetyo seruanhl nakula AntoniusCDN Kentut Masuk angin Sono makan dlu,0,0,0,0,in,1260061504767836162,1715305293226348847,Dharma_tc,https://twitter.com/Dharma_tc/status/1715322818022592572,Anase Muhayya ganjarpranowo mohmahfudmd chchotimah RenaHoston aanmuba Aryprasetyo seruanhl nakula AntoniusCDN Kentut Masuk Sono dlu,"['[', ""'Anase"", ""'"", ',', ""'Muhayya"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'chchotimah"", ""'"", ',', ""'RenaHoston"", ""'"", ',', ""'aanmuba"", ""'"", ',', ""'Aryprasetyo"", ""'"", ',', ""'seruanhl"", ""'"", ',', ""'nakula"", ""'"", ',', ""'AntoniusCDN"", ""'"", ',', ""'Kentut"", ""'"", ',', ""'Masuk"", ""'"", ',', ""'Sono"", ""'"", ',', ""'dlu"", ""'"", ']']"
Fri Oct 20 11:03:22 +0000 2023,1715322813689843824,MelihatIndo ganjarpranowo mohmahfudmd makin mantap untuk mendukung pasangan ini  VisiMisiGanjarMahfud,0,0,0,0,in,1659432246464622594,1715293032529203504,bougenvill4,https://twitter.com/bougenvill4/status/1715322813689843824,MelihatIndo ganjarpranowo mohmahfudmd VisiMisiGanjarMahfud,"['[', ""'MelihatIndo"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
Fri Oct 20 11:03:22 +0000 2023,1715322813408837699,Prihatiutami Dimana pun berada pilihan tetap ganjar pranowo gaspol pak menangkan ,0,0,0,0,in,1641586661233692678,1715026015330914478,fadlian_syah29,https://twitter.com/fadlian_syah29/status/1715322813408837699,Prihatiutami Dimana pranowo gaspol menangkan,"['[', ""'Prihatiutami"", ""'"", ',', ""'Dimana"", ""'"", ',', ""'pranowo"", ""'"", ',', ""'gaspol"", ""'"", ',', ""'menangkan"", ""'"", ']']"
Fri Oct 20 11:03:19 +0000 2023,1715322802348413343,MelihatIndo ganjarpranowo mohmahfudmd Keren ya VisiMisiGanjarMahfud untuk mensejahterakan rakyatnya,0,0,0,0,in,1693984147327614976,1715293032529203504,julies_2382137,https://twitter.com/julies_2382137/status/1715322802348413343,MelihatIndo ganjarpranowo mohmahfudmd Keren VisiMisiGanjarMahfud mensejahterakan rakyatnya,"['[', ""'MelihatIndo"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Keren"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ',', ""'mensejahterakan"", ""'"", ',', ""'rakyatnya"", ""'"", ']']"
Fri Oct 20 11:03:16 +0000 2023,1715322788515627291,Hadir dalam forum tersebut Plt Ketua Umum PPP Muhamad Mardiono Ketua Umum Perindo Hary Tanoesoedibjo dan Ketua Umum Hanura Oesman Sapta Odang   SahabatGanjar GanjarPranowo Ganjar GenerasiGotongRoyong GanjarPresiden GanjarUntukSemua GanjarMahfud httpstcoWXVriBuxf,0,0,1,1,in,1648750864654569472,1715322592373191042,Ganjar_Hebat,https://twitter.com/Ganjar_Hebat/status/1715322788515627291,Hadir Plt Ketua Umum PPP Muhamad Mardiono Ketua Umum Perindo Hary Tanoesoedibjo Ketua Umum Hanura Oesman Sapta Odang SahabatGanjar GanjarPranowo Ganjar GenerasiGotongRoyong GanjarPresiden GanjarUntukSemua GanjarMahfud httpstcoWXVriBuxf,"['[', ""'Hadir"", ""'"", ',', ""'Plt"", ""'"", ',', ""'Ketua"", ""'"", ',', ""'Umum"", ""'"", ',', ""'PPP"", ""'"", ',', ""'Muhamad"", ""'"", ',', ""'Mardiono"", ""'"", ',', ""'Ketua"", ""'"", ',', ""'Umum"", ""'"", ',', ""'Perindo"", ""'"", ',', ""'Hary"", ""'"", ',', ""'Tanoesoedibjo"", ""'"", ',', ""'Ketua"", ""'"", ',', ""'Umum"", ""'"", ',', ""'Hanura"", ""'"", ',', ""'Oesman"", ""'"", ',', ""'Sapta"", ""'"", ',', ""'Odang"", ""'"", ',', ""'SahabatGanjar"", ""'"", ',', ""'GanjarPranowo"", ""'"", ',', ""'Ganjar"", ""'"", ',', ""'GenerasiGotongRoyong"", ""'"", ',', ""'GanjarPresiden"", ""'"", ',', ""'GanjarUntukSemua"", ""'"", ',', ""'GanjarMahfud"", ""'"", ',', ""'httpstcoWXVriBuxf"", ""'"", ']']"
Fri Oct 20 11:03:09 +0000 2023,1715322759436484759,arryfmf SantorinisSun Miduk ganjarpranowo Rkyt cerdas pasti pilih Ganjar Mahfud mumpuni segalanya Lah kalo dukung Wowo itu apa prestasinya Tdk mungkin rkyt menginginkan dirinya atau anaknya jadi korban penculikan sprt masa lalu Sy yakin rkyt tdk mau masa kelam lalu itu terulang kembali Mengerikan jika itu terulang,0,0,0,0,in,1681943465050132480,1715181886883156477,PocoRedmip3397,https://twitter.com/PocoRedmip3397/status/1715322759436484759,arryfmf SantorinisSun Miduk ganjarpranowo Rkyt Ganjar Mahfud Lah Wowo prestasinya Tdk rkyt dirinya anaknya sprt Sy rkyt tdk Mengerikan,"['[', ""'arryfmf"", ""'"", ',', ""'SantorinisSun"", ""'"", ',', ""'Miduk"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'Rkyt"", ""'"", ',', ""'Ganjar"", ""'"", ',', ""'Mahfud"", ""'"", ',', ""'Lah"", ""'"", ',', ""'Wowo"", ""'"", ',', ""'prestasinya"", ""'"", ',', ""'Tdk"", ""'"", ',', ""'rkyt"", ""'"", ',', ""'dirinya"", ""'"", ',', ""'anaknya"", ""'"", ',', ""'sprt"", ""'"", ',', ""'Sy"", ""'"", ',', ""'rkyt"", ""'"", ',', ""'tdk"", ""'"", ',', ""'Mengerikan"", ""'"", ']']"
Fri Oct 20 11:03:06 +0000 2023,1715322745083638021,NikmatulSg ganjarpranowo mohmahfudmd Keren emang visi n misi bapak Ganjar feat Mahfud Gerak cepat satset tuk mewujudkan Indonesia lebih baik secara ekonomi hukum dan sektor lainnya Insya allah terpilih pasangamn GaMa  VisiMisiGanjarMahfud,0,0,0,1,in,1577207075469688832,1715286319017103792,SwadayaAhmad,https://twitter.com/SwadayaAhmad/status/1715322745083638021,NikmatulSg ganjarpranowo mohmahfudmd Keren n Ganjar feat Mahfud Gerak satset lainnya Insya allah pasangamn GaMa VisiMisiGanjarMahfud,"['[', ""'NikmatulSg"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Keren"", ""'"", ',', ""'n"", ""'"", ',', ""'Ganjar"", ""'"", ',', ""'feat"", ""'"", ',', ""'Mahfud"", ""'"", ',', ""'Gerak"", ""'"", ',', ""'satset"", ""'"", ',', ""'lainnya"", ""'"", ',', ""'Insya"", ""'"", ',', ""'allah"", ""'"", ',', ""'pasangamn"", ""'"", ',', ""'GaMa"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
Fri Oct 20 11:03:04 +0000 2023,1715322738141995062,priatamvan AnakKolong peterhari ganjarpranowo jokowi Ratna jelas bro kl si alif hrsnya laporin aja ke pak pol biar jelas katanya di laporin bro   Ya sdh lah hny rumput yg bergoyang ya tahu  hehhehehe,0,0,0,0,in,1546004013845340160,1715019286484500913,SuraDiro,https://twitter.com/SuraDiro/status/1715322738141995062,priatamvan AnakKolong peterhari ganjarpranowo jokowi Ratna bro kl hrsnya laporin katanya laporin bro Ya sdh hny yg hehhehehe,"['[', ""'priatamvan"", ""'"", ',', ""'AnakKolong"", ""'"", ',', ""'peterhari"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'jokowi"", ""'"", ',', ""'Ratna"", ""'"", ',', ""'bro"", ""'"", ',', ""'kl"", ""'"", ',', ""'hrsnya"", ""'"", ',', ""'laporin"", ""'"", ',', ""'katanya"", ""'"", ',', ""'laporin"", ""'"", ',', ""'bro"", ""'"", ',', ""'Ya"", ""'"", ',', ""'sdh"", ""'"", ',', ""'hny"", ""'"", ',', ""'yg"", ""'"", ',', ""'hehhehehe"", ""'"", ']']"
