created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 06 01:37:32 +0000 2023;1710106986250178705;"Heh ini rame banget bahas ttg mirna jesica. Gue jadi takut kalau datang duluan sebelum temen2 guee😭 trus mesen nitip minum duluan ke temen supaya gak nunggu lama😭🙏";0;0;0;0;in;1290311701942775809;1710106986250178705;moysun_;https://twitter.com/moysun_/status/1710106986250178705
Thu Oct 05 22:39:50 +0000 2023;1710062266199011451;"Fyp tik tok ku tentang ice cold jesica mirna, semuanya jadii takutt minum kopi, jadi takut janjian ama temen trs mesenin minuman duluan 😭";0;0;0;0;in;1420329218030784512;1710062266199011451;KMJLOOKSS_;https://twitter.com/KMJLOOKSS_/status/1710062266199011451
Thu Oct 05 22:19:35 +0000 2023;1710057172476760545;"@kegblgnunfaedh Knapa yah ga ada org yg komen ketika bapaknya mendiang Mirna di wawancarai di salah satu tv yg mengatakan bahwa dia punya botol sianida yg di pakai Jesica utk meracun Mirna, tapi ketika di pertegas sama presenternya bapaknya malah gagap.. coba deh ditonton lagi.";0;3;0;0;in;1302478686445170688;1709485631616016426;S92Jhon;https://twitter.com/S92Jhon/status/1710057172476760545
Thu Oct 05 21:24:41 +0000 2023;1710043354690658423;"@kegblgnunfaedh Malah pada sibuk cari kesalahan Jesicca, bukannya cari penyebab kmatiannya Mirna wkwk";0;0;0;0;in;264701065;1709485631616016426;akinari_15;https://twitter.com/akinari_15/status/1710043354690658423
Thu Oct 05 20:04:48 +0000 2023;1710023251446132911;"Bukannya tdr malah nonton kasus mirna jesica 🙂";0;0;0;0;in;1426395063593046020;1710023251446132911;thelifeofuser;https://twitter.com/thelifeofuser/status/1710023251446132911
Thu Oct 05 18:14:56 +0000 2023;1709995603105927452;"Kata kakak dan suami Mirna, Jessica marah dan sakit hati sama Mirna karena di tolol2in sama Mirna soalnya Jesicca salah milih cowok. Aku nontonya kayak... "HAH? Gak tau apa itu love language pertemanan.." 😑";0;1;0;0;in;86900771;1708690571588673638;zulaikhaamalia;https://twitter.com/zulaikhaamalia/status/1709995603105927452
Thu Oct 05 18:00:08 +0000 2023;1709991878194856121;"“Mirna itu kan cantik, kalau jesica itu kan mukanya aneh”  WOOOOOOOWWWW bapaknya mirna yaaaa ASTAGHFIRULLAH 🤯";0;1;0;0;in;55922792;1709991878194856121;NHAZMONTANA;https://twitter.com/NHAZMONTANA/status/1709991878194856121
Thu Oct 05 14:31:58 +0000 2023;1709939493057511813;"@CakKhum @kegblgnunfaedh Koreksi Mirna yg mati bukan Jesica..";0;0;0;0;in;1370369872610291712;1709485631616016426;Senie11374130;https://twitter.com/Senie11374130/status/1709939493057511813
Thu Oct 05 14:22:42 +0000 2023;1709937160953233878;"Ini kasus Jesica Mirna d buka lagi ginii kok jd merinding sendiri yaa saya";1;0;0;0;in;1505068524301320193;1709937160953233878;Gy11_1109;https://twitter.com/Gy11_1109/status/1709937160953233878
Thu Oct 05 14:15:59 +0000 2023;1709935470833279015;"Jesica ini terlihat sangat tertekan karena lingkungan di sekitarnya 1. Bapanya mirna 2. Temennya yang gue rasa pointing her lgsg mental dia Down dan di persidangan dll dia pasti shock gila ya… kalo yg masih nuduh She was smiled while sidang, dia santai lalalili";0;1;0;0;in;1510843238139449347;1709929769335460337;duagelasperhari;https://twitter.com/duagelasperhari/status/1709935470833279015
Thu Oct 05 11:56:30 +0000 2023;1709900366748471398;"dari kasus jesicca-mirna dan kasus ferdy sambo, secara ga langsung orang Indonesia dipaksa untuk "melek hukum"";0;0;0;0;in;127451079;1709900366748471398;windysart;https://twitter.com/windysart/status/1709900366748471398
Thu Oct 05 11:49:47 +0000 2023;1709898677861679425;"@kegblgnunfaedh Kenapa jesica bakar celananya? Itu mencurigakan sih Kenapa pesan minuman dulu kalau mirna datangnya masih 1 jam lagi? Kalau es ya jelas cair dong. Mana enak minum kopi es cair?  Kenapa jesica ga diundang pernikahan kalau emang temen deket? Apa dia toxic?";0;0;0;0;in;2920882124;1709485631616016426;Gondokusumatwit;https://twitter.com/Gondokusumatwit/status/1709898677861679425
Thu Oct 05 10:28:20 +0000 2023;1709878180352553094;"@Heraloebss Kasus jesica mirna gimana yak ?  Kayakny janggal banget";0;0;0;0;in;325623650;1709412929819562042;wisnu_salam;https://twitter.com/wisnu_salam/status/1709878180352553094
Thu Oct 05 10:02:59 +0000 2023;1709871798920335548;"@Heraloebss Sebagai orang yg biasa melakukan tugas pemeriksaan, maaf, dari awal saya bingung lihat putusannya. padahal di CCTV, ga ada Jesica kelihatan secara langsung memasukkan sesuatu ke kopi Mirna. Malah Jesica dihukum. Kasihan kan. Jesica dihukum aja. Lucuuu.";0;0;0;0;in;272396950;1709540592148262915;ringotorus;https://twitter.com/ringotorus/status/1709871798920335548
Thu Oct 05 09:52:45 +0000 2023;1709869222359408705;"@fuoshiguro @AREAJULID Jesica bs ada main tuh sama bapaknya mirna , trs bapaknya mirna takut ketauan..mau racun jesica...eee kenak anaknya...who knows 🥱🥱";0;0;0;0;in;1166932897674055681;1709522613666750650;PetakaK;https://twitter.com/PetakaK/status/1709869222359408705
Thu Oct 05 09:32:45 +0000 2023;1709864190826123740;"Setelah nonton ICe cold murder, makin yakin indonesia butuh perangkat peradilan yg pintar dan jujur!! Jaksa ganteng? naona nu ganteng jirrr😅, dulu jesica antagonis pas udh liat filmya ternyata antagonis jd ke bapanya mirna dan JPU";0;0;0;0;in;330817828;1709864190826123740;PRAMUDYAPUJI;https://twitter.com/PRAMUDYAPUJI/status/1709864190826123740
Thu Oct 05 08:26:06 +0000 2023;1709847417850655139;"@fvkrockabye Nonton ice cold jesica mirna";0;0;0;0;it;1645249291311775746;1709802030896955793;callmebei0;https://twitter.com/callmebei0/status/1709847417850655139
Thu Oct 05 07:06:08 +0000 2023;1709827295392026955;"siapa ya yg bunuh mirna, kl bkn jesica kesian bgt udh 7thn di penjara";0;0;0;0;in;1676582998949625856;1709827295392026955;0quesera;https://twitter.com/0quesera/status/1709827295392026955
Thu Oct 05 06:28:19 +0000 2023;1709817776758722866;"@Heraloebss Ga tau disuruh bapaknya mirna, entah kadung rame jesica jd tersangka, jd ydh lanjut. Krn ya balik lagi Tiap pembunuhan harus ada tersangka.";0;0;0;0;in;445727889;1709540592148262915;enjeeel_;https://twitter.com/enjeeel_/status/1709817776758722866
Thu Oct 05 05:32:13 +0000 2023;1709803657309663393;"@kegblgnunfaedh dari sini sus kalo yg bunuh tu bukan jesica tpi ortu/suaminya   pengadialn disogok kali yaa hmm 1. Mirna abis minum kpi dipaksa pulang dg suaminya. napa ga ke rs coba 🗿 2. Jenazah mirna ga diotopsi 3. Hany/suami mirna kek bebas bgt 🗿 4. Ayh mirna “insting saya gapernah mleset”";0;0;0;0;in;1302950063216291840;1709485631616016426;Vacadayneeded;https://twitter.com/Vacadayneeded/status/1709803657309663393
Thu Oct 05 04:39:40 +0000 2023;1709790435332542740;"@annelizinc @achmadfahrul26 @Heraloebss Iya, sampai ga tau ternyata mirna ga di otopsi sama mereka dan jesica di jadiin tersangka tanpa bukti akurat, mereka hanya menjadikan bukti rekaman CCTV sama asumsi kosong gegara jess buang celana nya";0;1;0;1;in;1452517844902547459;1709540592148262915;Ciu_ciudit;https://twitter.com/Ciu_ciudit/status/1709790435332542740
Thu Oct 05 04:37:38 +0000 2023;1709789924126523887;"@gierinakoo_ Iya gie, mirna jesica";0;0;0;0;in;1452517844902547459;1709733224639832279;Ciu_ciudit;https://twitter.com/Ciu_ciudit/status/1709789924126523887
Thu Oct 05 04:24:32 +0000 2023;1709786627567227014;"@WildFlow__ @kegblgnunfaedh Semua ahli yg dihadirkan seingat sya membenarkan mirna tewas krn sianida. Kesimpulan pn kl g salah krn reaksi sianida itu sesuai dgn kebersamaan Jesisca dn Mirna. Dlm arti reaksi Sianida g mungkn sesuai dgn wktu tewasnya apabila sianida masuk ke tubuh mirna sebelm bertemu Jesica";0;0;0;0;in;1538415270;1709485631616016426;andik_kelana;https://twitter.com/andik_kelana/status/1709786627567227014
